序号	公司名	证券代码	报告年份	报告标题	官方来源URL	来源类型	下载时间	本地文件名	文件大小字节	页数	PDF_SHA256	规范化文本指纹	MinerU解析方式	解析状态	输出目录
1	西部建设	002302.SZ	2024	本报告是中建⻄部建设股份有限公司（下⽂简称“⻄部建设”“公司”或“我们”）发布的2024年度环境、社	https://static.cninfo.com.cn/finalpage/2025-06-07/1223801971.PDF	CNINFO	2026-09-04T08:12:36+08:00	第5批次_01_西部建设.pdf	102676039	55	d54aca7d6955748ba1b6df72fc91bf50be79395c066160677e07b8cda2d19d79	efdbb1d3b59ae2823124c043e8bd28d0020b4d692db3d5a66590d5de6d19ab50	pipeline-txt	success_api_gpu	pdf_text/batch-05/002302.SZ
2	晓鸣股份	300967.SZ	2024	本报告为年度报告，时间范围覆盖 2024 年 1 月 1 日至 2024 年 12	https://static.cninfo.com.cn/finalpage/2025-04-16/1223103010.PDF	CNINFO	2026-09-04T08:12:50+08:00	第5批次_02_晓鸣股份.pdf	101643169	187	9693099a4bd653bdae49a713b7cdeb27347e6f235e0a14047858f5d7906a3d66	56290579e82070e14bda9125c40c906a9350cada10739c4c5531b4ce20561dda	pipeline-txt	success_api_gpu	pdf_text/batch-05/300967.SZ
3	国缆检测	301289.SZ	2024	环境、社会及治理 (ESG) 报告	https://static.cninfo.com.cn/finalpage/2025-04-23/1223214301.PDF	CNINFO	2026-09-04T08:13:08+08:00	第5批次_03_国缆检测.pdf	100888661	44	d10e8882af29abfa1e1888de0a00e11c16960a1e9083a0faad5f60bed11cb5a0	8fde2474e07fbab8d05f05ea13fc626564882022501ecee70e703c6ace1e8154	pipeline-txt	success_api_gpu	pdf_text/batch-05/301289.SZ
4	佳电股份	000922.SZ	2024	佳电股份 · 2024 年度环境、社会和公司治理报告	https://static.cninfo.com.cn/finalpage/2025-03-31/1222943792.PDF	CNINFO	2026-09-04T08:13:21+08:00	第5批次_04_佳电股份.pdf	100884662	54	6c26db74c9d1445c7cf9fad44673bfe5b7ee5e105dd650262d8a49de6eaef50e	75a0f0d41063f663b0513e66bfd8ef489a324cca0b3e8f2ec3ea0ec7664affe1	pipeline-txt	success_api_gpu	pdf_text/batch-05/000922.SZ
5	沃顿科技	000920.SZ	2024	本报告是沃顿科技股份有限公司发布的第 3 份环境、社会及公司治理（ESG）报告，本着客观、真实的原则，详细披露了	https://static.cninfo.com.cn/finalpage/2025-03-28/1222926700.PDF	CNINFO	2026-09-04T08:13:36+08:00	第5批次_05_沃顿科技.pdf	100593999	42	2360ab92a7b4b1cd7c6ad69a46bcbbe4f1d1b61b4a44b9d1ee89eb25eeb327d0	c10c5b25079069678f17f48409fb9f7c9f3cee058b524c3b8cbc0de65bca0709	pipeline-txt	success_api_gpu	pdf_text/batch-05/000920.SZ
6	科大讯飞	002230.SZ	2024	科大讯飞2024年ESG报告	https://static.cninfo.com.cn/finalpage/2025-04-22/1223191156.PDF	CNINFO	2026-09-04T08:15:09+08:00	第5批次_06_科大讯飞.pdf	97729726	57	52be031fc632133ffa3d4151d8f3d5b6c6131be036811f0e2cbe458889e564e8	bff3d485401a9e61239318766a81a55446d17b5f7f4baceb26d5b83357e1aa05	pipeline-txt	success_api_gpu	pdf_text/batch-05/002230.SZ
7	蓝焰控股	000968.SZ	2024	环境、社会和公司治理（ESG）报告	https://static.cninfo.com.cn/finalpage/2025-04-25/1223275659.PDF	CNINFO	2026-09-04T08:15:32+08:00	第5批次_07_蓝焰控股.pdf	97317800	47	4b2d03c05300fddf7b82dd8d429eae3dd9c4c8aef7fafc1f8c2710db5756011f	abc419c4cb445f77f881df86d8cd2908715df3499dbb95c55506d652f1c8329e	pipeline-txt	success_api_gpu	pdf_text/batch-05/000968.SZ
8	新宙邦	300037.SZ	2024	新宙邦2024年ESG报告	https://static.cninfo.com.cn/finalpage/2025-03-25/1222883105.PDF	CNINFO	2026-09-04T08:16:09+08:00	第5批次_08_新宙邦.pdf	96667158	66	9b6501fe0c0122bf1db213569cb3c093a1bc64144934390d9ea13adc1046510a	22e26a63706cfb2e329996252ced68786caacb5853912004e69330166eb0e522	pipeline-txt	success_api_gpu	pdf_text/batch-05/300037.SZ
9	易点天下	301171.SZ	2024	及公司治理报告	https://static.cninfo.com.cn/finalpage/2025-04-25/1223265594.PDF	CNINFO	2026-09-04T08:17:38+08:00	第5批次_09_易点天下.pdf	94246555	76	e7aa7d1353dcaf0429b2e07f8f6d290cd479beda5dcc59b47611d0dd037a8c5c	bf5d6f93ef4c680c7dbfcbe47c465a34b2f02add74b6bfa3b327293fea4d048a	pipeline-txt	success_api_gpu	pdf_text/batch-05/301171.SZ
10	美利信	301307.SZ	2024	重庆美利信科技股份有限公司 ���� 年度环境、社会和公司治理报告 开篇·董事长致辞	https://static.cninfo.com.cn/finalpage/2025-04-22/1223191337.PDF	CNINFO	2026-09-04T08:18:02+08:00	第5批次_10_美利信.pdf	92226460	54	53aa4f8b6f3d241602d8469e30d45e1ddc9050506842dee563a74aab8af66585	5cddc37b0d0db0542c38adf6f4902f0b73a4712febcc74fe74f3e8d030dfb4c5	pipeline-txt	success_api_gpu	pdf_text/batch-05/301307.SZ
