序号	公司名	证券代码	报告年份	报告标题	官方来源URL	来源类型	下载时间	本地文件名	文件大小字节	页数	PDF_SHA256	规范化文本指纹	MinerU解析方式	解析状态	输出目录
1	中国平安	601318.SH	2024	中国平安2024年度可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-03-20/1222847442.PDF	CNINFO	2026-08-31T12:14:55+08:00	第4批次_01_中国平安.pdf	15532565	190	ec425338c0cd989c8e0e208e3b38598385a0568634caef266e34366e2dfd45a9	76348a99965979629118c329cc25a7d0f999a4288a35a6691b774a44af349439	pipeline-ocr	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_01_中国平安
2	国泰君安	601211.SH	2024	国泰君安2024年度可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-03-29/1222949891.PDF	CNINFO	2026-08-31T12:14:58+08:00	第4批次_02_国泰君安.pdf	6692522	156	4a7ecd064dfaf128a8e048a62a865a266809ee985aad550c10e6a5f9050f95c3	785614b6f79c007d83035b2abc030478d0448e110b028d75fe684cd0778ad7ae	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_02_国泰君安
3	中国能源建设	601868.SH	2024	中国能源建设2024年度环境社会治理报告	https://big5.sse.com.cn/site/cht/www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-03-29/601868_20250329_UKQT.pdf	上交所	2026-08-31T12:15:01+08:00	第4批次_03_中国能源建设.pdf	12287716	39	2896ffe1a637945c0892a0a0f4ee729453f215efd15455224dca2ad2563774fa	fc351f2da9b2094e4e7777159506c3dc68857c84d6b27e56bcc1fd70dd3a3c96	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_03_中国能源建设
4	中国中车	601766.SH	2024	中国中车2024年度环境社会及治理报告	https://static.cninfo.com.cn/finalpage/2025-03-29/1222949493.PDF	CNINFO	2026-08-31T12:15:02+08:00	第4批次_04_中国中车.pdf	3428712	107	36aa97c39c07b7372a0e94e48aec1d3eec496409f674668af8009f8325e25f04	86ec832a0a99264a4b09c432d77e3bdd21384c01f9181dbca52a1dc86b90e980	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_04_中国中车
5	中国铁建	601186.SH	2024	中国铁建2024年度可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-03-29/1222941016.PDF	CNINFO	2026-08-31T12:15:03+08:00	第4批次_05_中国铁建.pdf	2254425	111	d0411ccfd20e873fd494e66986255026d69e08b7a6d95b22258bd26e51cd1a11	87bfe1a94abc6349fcbe17622b16e1c1276d0494c33c5d0a989aa07b4616ae58	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_05_中国铁建
6	中国交建	601800.SH	2024	中国交建2024年度环境社会及治理报告	https://static.cninfo.com.cn/finalpage/2025-04-30/1223448798.PDF	CNINFO	2026-08-31T12:15:04+08:00	第4批次_06_中国交建.pdf	19942425	90	0822e95c633550e23aefc47aba304616f96af39a3b893088cd668e0542964303	49d3d8a6caa89fbcf7490bf028b3fb4b2ee3992dd615e8b38f490fdf24fba9cc	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_06_中国交建
7	上汽集团	600104.SH	2024	上汽集团2024年度环境社会和公司治理报告	https://static.cninfo.com.cn/finalpage/2025-04-30/1223418973.PDF	CNINFO	2026-08-31T12:15:07+08:00	第4批次_07_上汽集团.pdf	5486483	54	b0786c979dd21996b4a538f07fd20b024e54d383f2cc43e17d0516e1d8213b93	ee5e658a1a3147b984289b3d8f3ab6baa365d49d7670956facc1c6794048611f	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_07_上汽集团
8	比亚迪	002594.SZ	2024	比亚迪2024年可持续发展报告	https://disc.static.szse.cn/disc/disk03/finalpage/2025-03-25/0f91d9b9-8154-4aad-ae67-d3d671eec157.PDF	深交所	2026-08-31T12:15:09+08:00	第4批次_08_比亚迪.pdf	21711010	155	8dfceabd75452ffaf39b0ffa7a1e841707b586931347819e058ebb343c93b1dd	d0153384fa60c5c8dd95058c777a2f8155d1becc7d65b89b67be0a18aaa93431	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_08_比亚迪
9	格力电器	000651.SZ	2024	格力电器2024年度可持续发展报告	https://static.cninfo.com.cn/finalpage/2025-04-28/1223330624.PDF	CNINFO	2026-08-31T12:15:12+08:00	第4批次_09_格力电器.pdf	14109978	93	f807b17a2198fbcd310a92c83a18d9cb58ae92f2668750b0ec62f582eb0bcd63	8e7e9441743d1db806c1e2ac3656ab766428a709e4e202b0203873b843f1c27d	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_09_格力电器
10	金山办公	688111.SH	2024	金山办公2024年可持续发展报告	https://star.sse.com.cn/disclosure/listedinfo/announcement/c/new/2025-03-20/688111_20250320_5T47.pdf	上交所	2026-08-31T12:58:44+08:00	第4批次_10_金山办公.pdf	21781915	95	5da371ff81ff03c0fa7d14ffe30d304747a918f581ca1a81f9a5e61883f82a11	c2937c4fd72fb6754677da1b20ad4675dddb6930942010ef2ad20fdf2a89adc0	pipeline-txt	success_reused	E:\Pioneer\819\02_数据与解析\第4批次_解析结果\第4批次_10_金山办公
